
时间,位移,力
(s),(mm),(N)
"5.2400","12.4776","0.4441"
"5.2600","12.5256","0.4481"
"5.2800","12.5735","0.4486"
"5.3000","12.6216","0.4489"
"5.3200","12.6696","0.4507"
"5.3400","12.7176","0.4518"
"5.3600","12.7656","0.4529"
"5.3800","12.8136","0.4533"
"5.4000","12.8616","0.4552"
"5.4200","12.9095","0.4552"
"5.4400","12.9575","0.4561"
"5.4600","13.0056","0.4579"
"5.4800","13.0535","0.4581"
"5.5000","13.1015","0.4611"
"5.5200","13.1495","0.4598"
"5.5400","13.1975","0.4601"
"5.5600","13.2455","0.4625"
"5.5800","13.2935","0.4630"
"5.6000","13.3416","0.4650"
"5.6200","13.3896","0.4640"
"5.6400","13.4376","0.4675"
"5.6600","13.4856","0.4684"
"5.6800","13.5336","0.4666"
"5.7000","13.5815","0.4702"
"5.7200","13.6295","0.4708"
"5.7400","13.6775","0.4679"
"5.7600","13.7255","0.4745"
"5.7800","13.7735","0.4741"
"5.8000","13.8216","0.4719"
"5.8200","13.8696","0.4744"
"5.8400","13.9175","0.4759"
"5.8600","13.9656","0.4764"
"5.8800","14.0136","0.4781"
"5.9000","14.0616","0.4784"
"5.9200","14.1096","0.4785"
"5.9400","14.1576","0.4813"
"5.9600","14.2056","0.4830"
"5.9800","14.2536","0.4812"
"6.0000","14.3016","0.4830"
"6.0200","14.3496","0.4838"
"6.0400","14.3976","0.4861"
"6.0600","14.4455","0.4870"
"6.0800","14.4936","0.4864"
"6.1000","14.5416","0.4867"
"6.1200","14.5895","0.4889"
"6.1400","14.6375","0.4905"
"6.1600","14.6855","0.4909"
"6.1800","14.7335","0.4902"
"6.2000","14.7815","0.4935"
"6.2200","14.8295","0.4932"
"6.2400","14.8776","0.4926"
"6.2600","14.9255","0.4967"
"6.2800","14.9735","0.4963"
"6.3000","15.0216","0.4964"
"6.3200","15.0696","0.4985"
"6.3400","15.1175","0.4977"
"6.3600","15.1656","0.5003"
"6.3800","15.2136","0.5014"
"6.4000","15.2616","0.5002"
"6.4200","15.3095","0.5023"
"6.4400","15.3576","0.5035"
"6.4600","15.4056","0.5037"
"6.4800","15.4535","0.5058"
"6.5000","15.5015","0.5061"
"6.5200","15.5495","0.5058"
"6.5400","15.5975","0.5078"
"6.5600","15.6454","0.5072"
"6.5800","15.6934","0.5066"
"6.6000","15.7415","0.5140"
"6.6200","15.7894","0.5152"
"6.6400","15.8375","0.5086"
"6.6600","15.8856","0.5125"
