时间,位移,力
(s),(mm),(N)
17.1,240,2.0726
17.15,240,2.0691
17.2,240,2.0667
17.25,240,2.0647
17.3,240,2.0636
17.35,240,2.0594
17.4,240,2.058
17.45,240,2.0555
17.5,240,2.0526
17.55,240,2.0517
17.6,240,2.0489
17.65,240,2.0468
17.7,240,2.0454
17.75,240,2.0419
17.8,240,2.04
17.85,240,2.0384
17.9,240,2.0356
17.95,240,2.0336
18,240,2.031
18.05,240,2.0291
18.1,240,2.028
18.15,240,2.0245
18.2,240,2.0226
18.25,240,2.0206
18.3,240,2.019
18.35,240,2.0165
18.4,240,2.0152
18.45,240,2.0126
18.5,240,2.0105
18.55,240,2.0096
18.6,240,2.0062
18.65,240,2.0045
18.7,240,2.003
18.75,240,2.001
18.8,240,1.9993
18.85,240,1.9961
18.9,240,1.9948
18.95,240,1.9936
19,240,1.9909
19.05,240,1.9902
19.1,240,1.9872
19.15,240,1.9854
19.2,240,1.9834
19.25,240,1.981
19.3,240,1.9797
19.35,240,1.9787
19.4,240,1.9769
19.45,240,1.9758
19.5,240,1.9721
19.55,240,1.9714
19.6,240,1.9685
19.65,240,1.9676
19.7,240,1.9659
19.75,240,1.9637
19.8,240,1.9625
19.85,240,1.96
19.9,240,1.9582
19.95,240,1.9576
20,240,1.9562
20.05,240,1.9536
20.1,240,1.9517
20.15,240,1.9496
20.2,240,1.9491
20.25,240,1.9471
20.3,240,1.9456
20.35,240,1.943
20.4,240,1.9426
20.45,240,1.9404
20.5,240,1.9395
20.55,240,1.9369
20.6,240,1.9346
20.65,240,1.9341
20.7,240,1.9319
20.75,240,1.9329
20.8,240,1.9292
20.85,240,1.9278
20.9,240,1.9261
20.95,240,1.9244
21,240,1.9224
21.05,240,1.9223
21.1,240,1.9196
21.15,240,1.9181
21.2,240,1.9165
21.25,240,1.9155
21.3,240,1.9141
21.35,240,1.9123
21.4,240,1.9116
21.45,240,1.9093
21.5,240,1.907
21.55,240,1.9067
21.6,240,1.9034
21.65,240,1.9039
21.7,240,1.9028
21.75,240,1.9006
21.8,240,1.8982
21.85,240,1.8983
21.9,240,1.896
21.95,240,1.8945
22,240,1.8938
22.05,240,1.8917
22.1,240,1.8906
22.15,240,1.8895
22.2,240,1.8873
22.25,240,1.8865
22.3,240,1.8856
22.35,240,1.8846
22.4,240,1.882
22.45,240,1.8803
22.5,240,1.8805
22.55,240,1.8783
22.6,240,1.8774
22.65,240,1.8761
22.7,240,1.8737
22.75,240,1.873
22.8,240,1.8723
22.85,240,1.8695
22.9,240,1.8697
22.95,240,1.8685
23,240,1.8658
23.05,240,1.8654
23.1,240,1.8641
23.15,240,1.8629
23.2,240,1.8615
23.25,240,1.8609
23.3,240,1.8578
23.35,240,1.8568
23.4,240,1.857
23.45,240,1.855
23.5,240,1.854
23.55,240,1.8531
23.6,240,1.8522
23.65,240,1.8496
23.7,240,1.8493
23.75,240,1.8475
23.8,240,1.8468
23.85,240,1.8451
23.9,240,1.8444
23.95,240,1.8422
24,240,1.8421
24.05,240,1.8411
24.1,240,1.8392
24.15,240,1.8386
24.2,240,1.8366
24.25,240,1.8364
24.3,240,1.835
24.35,240,1.833
24.4,240,1.8319
24.45,240,1.8315
24.5,240,1.8308
24.55,240,1.8283
24.6,240,1.8285
24.65,240,1.8265
24.7,240,1.8258
24.75,240,1.8254
24.8,240,1.8228
24.85,240,1.8216
24.9,240,1.8218
24.95,240,1.821
25,240,1.8178
25.05,240,1.8181
25.1,240,1.8167
25.15,240,1.8157
25.2,240,1.8145
25.25,240,1.8128
25.3,240,1.8117
25.35,240,1.8124
25.4,240,1.8102
25.45,240,1.8085
25.5,240,1.8089
25.55,240,1.807
25.6,240,1.8065
25.65,240,1.8046
25.7,240,1.8039
25.75,240,1.8022
25.8,240,1.8017
25.85,240,1.8009
25.9,240,1.7998
25.95,240,1.7995
26,240,1.7978
26.05,240,1.7965
26.1,240,1.7956
26.15,240,1.7936
26.2,240,1.7929
26.25,240,1.7935
26.3,240,1.7913
26.35,240,1.7904
26.4,240,1.79
26.45,240,1.7898
26.5,240,1.7873
26.55,240,1.7868
26.6,240,1.7861
26.65,240,1.7834
26.7,240,1.7842
26.75,240,1.7835
26.8,240,1.7809
26.85,240,1.781
26.9,240,1.7793
26.95,240,1.7792
27,240,1.7775
27.05,240,1.7761
27.1,240,1.7765
27.15,240,1.7753
27.2,240,1.7743
27.25,240,1.7725
27.3,240,1.7724
27.35,240,1.7721
27.4,240,1.7701
27.45,240,1.769
27.5,240,1.7676
27.55,240,1.7674
27.6,240,1.7657
27.65,240,1.7654
27.7,240,1.7648
27.75,240,1.7636
27.8,240,1.7623
27.85,240,1.7645
27.9,240,1.7568
27.95,240,1.7619
28,240,1.7603
28.05,240,1.7575
28.1,240,1.7582
28.15,240,1.7568
28.2,240,1.7557
28.25,240,1.7557
28.3,240,1.754
28.35,240,1.7518
28.4,240,1.7528
28.45,240,1.7511
28.5,240,1.7503
28.55,240,1.7495
28.6,240,1.7483
28.65,240,1.7481
28.7,240,1.7472
28.75,240,1.7461
28.8,240,1.745
28.85,240,1.7451
28.9,240,1.7444
28.95,240,1.7447
29,240,1.7389
29.05,240,1.7427
29.1,240,1.7394
29.15,240,1.7399
29.2,240,1.7381
29.25,240,1.7362
29.3,240,1.7371
29.35,240,1.7361
29.4,240,1.7333
29.45,240,1.7353
29.5,240,1.7349
29.55,240,1.7307
29.6,240,1.7339
29.65,240,1.7306
29.7,240,1.7302
29.75,240,1.7312
29.8,240,1.7292
29.85,240,1.7275
29.9,240,1.7272
29.95,240,1.7263
30,240,1.7252
30.05,240,1.7244
30.1,240,1.7251
30.15,240,1.7199
30.2,240,1.724
30.25,240,1.7214
30.3,240,1.7202
30.35,240,1.7206
30.4,240,1.7195
30.45,240,1.7186
30.5,240,1.7183
30.55,240,1.7174
30.6,240,1.7169
30.65,240,1.7182
30.7,240,1.7137
30.75,240,1.7142
30.8,240,1.713
30.85,240,1.7123
30.9,240,1.713
30.95,240,1.711
31,240,1.709
31.05,240,1.7106
31.1,240,1.7076
31.15,240,1.7075
31.2,240,1.7096
31.25,240,1.7021
31.3,240,1.7093
31.35,240,1.7045
31.4,240,1.705
31.45,240,1.7017
31.5,240,1.7043
31.55,240,1.7019
31.6,240,1.7018
31.65,240,1.6995
31.7,240,1.6999
31.75,240,1.698
31.8,240,1.7009
31.85,240,1.6963
31.9,240,1.6969
31.95,240,1.6977
32,240,1.6948
32.05,240,1.6964
32.1,240,1.694
32.15,240,1.6942
32.2,240,1.693
32.25,240,1.6924
32.3,240,1.6907
32.35,240,1.6909
32.4,240,1.6914
32.45,240,1.6897
32.5,240,1.6883
32.55,240,1.6874
32.6,240,1.6869
32.65,240,1.6869
32.7,240,1.6847
32.75,240,1.6878
32.8,240,1.6841
32.85,240,1.6841
32.9,240,1.6843
32.95,240,1.6822
33,240,1.6804
33.05,240,1.6829
33.1,240,1.6773
33.15,240,1.6819
33.2,240,1.6781
33.25,240,1.6777
33.3,240,1.6774
33.35,240,1.6819
33.4,240,1.6752
33.45,240,1.6751
33.5,240,1.6733
33.55,240,1.6748
33.6,240,1.6724
33.65,240,1.672
33.7,240,1.672
33.75,240,1.6715
33.8,240,1.6716
33.85,240,1.6711
33.9,240,1.6693
33.95,240,1.6698
34,240,1.6684
34.05,240,1.668
34.1,240,1.6655
34.15,240,1.6667
34.2,240,1.6657
34.25,240,1.6648
34.3,240,1.665
34.35,240,1.6645
34.4,240,1.6637
34.45,240,1.6622
34.5,240,1.663
34.55,240,1.6572
34.6,240,1.6647
34.65,240,1.6606
34.7,240,1.6598
34.75,240,1.6596
34.8,240,1.6586
34.85,240,1.6583
34.9,240,1.6589
34.95,240,1.6563
35,240,1.6568
35.05,240,1.6552
35.1,240,1.6535
35.15,240,1.656
35.2,240,1.6548
35.25,240,1.6541
35.3,240,1.6525
35.35,240,1.6528
35.4,240,1.6503
35.45,240,1.6521
35.5,240,1.6513
35.55,240,1.6492
35.6,240,1.6489
35.65,240,1.6488
35.7,240,1.6484
35.75,240,1.6473
35.8,240,1.647
35.85,240,1.6459
35.9,240,1.6447
35.95,240,1.6451
36,240,1.6447
36.05,240,1.6433
36.1,240,1.6422
36.15,240,1.6432
36.2,240,1.6434
36.25,240,1.6418
36.3,240,1.6394
36.35,240,1.6404
36.4,240,1.6405
36.45,240,1.64
36.5,240,1.639
36.55,240,1.638
36.6,240,1.639
36.65,240,1.6368
36.7,240,1.6382
36.75,240,1.6359
36.8,240,1.6362
36.85,240,1.6354
36.9,240,1.6338
36.95,240,1.6338
37,240,1.6328
37.05,240,1.633
37.1,240,1.632
37.15,240,1.6299
37.2,240,1.6308
37.25,240,1.6306
37.3,240,1.6292
37.35,240,1.6293
37.4,240,1.6275
37.45,240,1.6285
